plot_ID,ABBA,ACER,ACPE,ACRU,ACSA,BEAL,BELE,BENI,BEPA,BEPO,BESP,CACA,CACO,CAOV,FAGR,FRAM,FRNI,HAVI,OSVI,PIRU,PISP,PIST,PODE,POGR,POTR,PRPE,PRSE,QURU,ROPS,THOC,TIAM,TSCA,ULAM,ULRU,ULSP,UNK
HRunh3,0,0,0,0,0.470002681,0,0,0,0,0,0,0,0,0,0.288790905,0.306438016,0,0,0.019189633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088141309
HRunh4,0,0,0,0,0.546824046,0.126261394,0,0,0,0,0,0,0,0,0,0.387817832,0,0,0,0.114809504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161gap1,0,0,0,0,0.281591945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161gap2,0,0,0,0,0.29995534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161gap3,0,0,0,0,0.404107775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161mat1,0,0,0,0,0.514285001,0,0,0,0,0,0,0,0,0,0,0.050272551,0,0,0.01911345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161mat2,0,0,0,0,0.328505348,0,0,0,0,0,0,0,0.023778715,0,0,0.475669329,0,0.010568318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSF161mat3,0,0,0,0.20104308,0.285585695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP118unh1,0,0,0,0,0.19189005,0.314700405,0,0,0,0,0,0,0,0,0.022965828,0.715960326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP118unh2,0,0,0,0,0.932685452,0,0,0,0,0,0,0,0,0,0,0.121976262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP118unh3,0,0,0,0,1.022948907,0,0,0,0,0,0,0,0,0,0.021859987,0.616177846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSP118unh4,0.056440283,0,0,0,0.502918718,0.135893517,0,0,0.081939805,0,0,0,0,0,0.092998997,0.40899845,0,0,0,0,0,0,0,0,0.051471854,0,0,0,0,0,0,0,0,0,0,0
JMP1mat1,0,0,0,0,0.601645624,0.198712804,0,0,0,0,0,0,0,0,0,0.532615408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP1mat2,0,0,0,0,0.50732166,0,0,0,0,0,0,0,0,0,0,0.396785508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP1mat3,0,0,0.008332289,0.046376976,0.556644665,0.043166268,0,0,0.378956185,0,0,0,0,0,0,0.241199703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP1mat4,0,0,0,0,0.522735885,0,0,0,0,0,0,0,0,0,0,0.307892573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP3unh1,0,0,0,0,0.509894625,0,0,0,0,0,0,0,0,0,0.144929523,0.313760283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP3unh2,0,0,0,0,0.379613563,0.053912872,0,0,0,0,0,0,0,0,0.013892908,0.727754651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP3unh3,0,0,0,0,0.737150369,0,0,0,0,0,0,0,0,0,0,0.225586773,0,0,0.010935884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP3unh4,0,0,0,0,0.374875256,0,0,0,0,0,0,0,0,0,0.213611022,0.279979523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP7mat1,0,0,0,0,0.655956692,0.112220831,0,0,0,0,0,0,0,0,0,0.189139586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008824734
JMP7mat2,0,0,0,0,0.832833856,0.060698712,0,0,0,0,0,0,0,0,0,0.425000152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP7mat3,0,0,0,0,0.659927665,0,0,0,0,0,0,0,0,0,0,0.395473893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JMP7mat4,0,0,0,0,0.750213896,0,0,0,0,0,0,0,0,0,0.053388226,0.101222901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNPunh1,0,0,0,0,0.303140129,0.062858557,0,0,0,0,0,0,0,0,0,0.31556827,0.162120318,0,0.013684778,0,0,0,0,0,0,0,0,0,0,0,0.315420615,0,0.034387873,0,0,0
JNPunh2,0,0,0,0,0.211922416,0.097515036,0,0,0,0,0,0,0,0,0,0.272694955,0.410375253,0,0,0,0,0,0,0,0,0,0.144545463,0,0,0,0.198325603,0,0.017907864,0,0,0
JNPunh3,0,0,0,0,0.195919928,0,0,0,0,0,0,0,0,0,0,0.573288038,0.104292237,0,0,0,0,0,0,0,0,0,0,0,0,0,0.296827884,0,0.034714599,0,0,0
JNPunh4,0,0,0,0,0.225368432,0,0,0,0,0,0,0,0,0,0,0.442270272,0.222481309,0,0.011499015,0,0,0,0,0,0,0,0,0,0,0,0.076565325,0,0.102327171,0,0,0
KMSFunh1,0,0,0,0,1.037833772,0,0,0,0,0,0,0,0,0,0,0.449945183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMSFunh2,0,0,0,0,0.151742852,0.317340128,0,0,0,0,0,0,0,0,0.206275403,0.202577748,0,0,0,0.067488479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMSFunh3,0,0,0,0,0.083151674,0.295484853,0,0,0.123785819,0,0,0,0,0,0.179187806,0.558447939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KMSFunh4,0,0,0.008171282,0,0.554275904,0.101787602,0,0,0,0,0,0,0,0,0.041879001,0.440079011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MP1314gap1,0,0,0,0,0,0.010935884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029764234,0,0,0,0,0,0,0,0,0
