"","plot_ID","harvest_status","live_biomass","cut_biomass","propbiocut","seedling_richness","seedling_shannon","seedling_density"
"84","GSF396mat1","YES",8807.05659097973,0,0,3,0.618940743856973,7
"85","GSF396mat2","YES",7973.06640728864,0,0,2,0.36692499127271,8.33333333333333
"86","GSF396mat3","YES",6586.82331242894,122.881783610689,0.0183140364370439,3,0.354598827552649,11.3333333333333
"87","GSF396mat4","YES",7186.51936694148,2436.77265205986,0.253216118480912,3,0.470235962355249,7.66666666666667
"88","GSF396mat5","YES",5795.44516247452,4522.58816596502,0.43831881735635,4,1.20562823248872,6.66666666666667
"89","HMSPunh1","NO",11746.5321831756,0,0,4,1.33217904021012,1.66666666666667
"90","HMSPunh2","NO",5069.93198826847,0,0,4,0.810668768258392,14.6666666666667
"91","HMSPunh3","NO",16320.5944992203,0,0,4,1.35178399428965,2.33333333333333
"92","HMSPunh4","NO",15726.4511448827,0,0,1,0,0.333333333333333
"93","HRgap1","NO",8376.79699645471,0,0,5,1.43474092429267,7
"94","HRgap2","NO",5853.1621307291,0,0,4,1.04083983742324,5.33333333333333
"95","HRgap3","NO",7103.05431857348,0,0,2,0.309477286774126,28.6666666666667
"96","HRmat1","NO",11466.6898615333,0,0,4,0.537938860646753,25.3333333333333
"97","HRmat2","NO",14664.3996051157,0,0,2,0.261764482909015,13.6666666666667
"98","HRmat3","NO",6309.00348408961,0,0,5,1.24609212007233,13.3333333333333
"99","HRunh1","NO",2677.72970191678,0,0,2,0.692346967089961,8.33333333333333
"100","HRunh2","NO",7730.48230433664,0,0,4,0.818180493560338,11.6666666666667
"101","HRunh3","NO",8405.22104858259,0,0,4,1.12327193239642,12.3333333333333
"102","HRunh4","NO",8657.14431696043,0,0,2,0.276190922407075,25.3333333333333
"103","HSF161gap1","YES",2291.98226622979,0,0,NA,0,NA
"104","HSF161gap2","YES",2317.46747343099,4263.24372445927,0.647839359038585,NA,0,NA
"105","HSF161gap3","YES",3194.22139646342,2329.9833713673,0.421777155136531,2,0.465999256961043,5.66666666666667
"106","HSF161mat1","YES",4380.37174110536,4322.43439957118,0.496671341369803,3,0.869922383335115,9.33333333333333
"107","HSF161mat2","YES",6373.58531694897,1327.822808899,0.172412990871432,2,0.348832095843032,3
"108","HSF161mat3","YES",3446.10367541678,6028.63800875231,0.636285210690787,3,0.683738905848754,6
"109","HSP118unh1","NO",9543.4205049763,0,0,1,0,1.66666666666667
"110","HSP118unh2","NO",7931.93387132774,0,0,4,0.528464397418595,18
"111","HSP118unh3","NO",12642.5836496074,0,0,5,0.352675701803698,27.3333333333333
"112","HSP118unh4","NO",8978.79977816501,0,0,2,0.562335144618808,2.66666666666667
"113","JMP1mat1","YES",8538.49023424056,352.72093321115,0.0396707407537867,1,0,3.66666666666667
"114","JMP1mat2","YES",5942.59960804602,615.255649521329,0.0938196445875141,3,1.03619878481928,3.66666666666667
"115","JMP1mat3","YES",8912.38413138857,1016.79927602728,0.10240512581003,5,1.15454544351279,11.6666666666667
"116","JMP1mat4","YES",5209.9897253936,1680.16366455727,0.243849965228313,3,0.287364304680956,15
"117","JMP3unh1","NO",6669.26472465369,0,0,1,0,2
"118","JMP3unh2","NO",7499.71188580289,0,0,3,0.536664562484525,6.33333333333333
"119","JMP3unh3","NO",7207.06217103409,251.31774186883,0.033696023104703,4,1.12467028923762,5.33333333333333
"120","JMP3unh4","NO",5759.97245337571,0,0,2,0.126930545341402,12
"121","JMP7mat1","YES",6699.01248746373,2812.39188086599,0.295686291104441,2,0.0645814363776275,28
"122","JMP7mat2","YES",9074.73172259805,2377.42002814001,0.207595924319357,4,0.532821539462641,17.6666666666667
"123","JMP7mat3","YES",7426.37731283816,5450.33937129689,0.423270893116105,2,0.163023629494366,8.66666666666667
"124","JMP7mat4","YES",6665.22725954315,3813.48654454493,0.363926968122478,2,0.0442600020458068,44.3333333333333
"125","JNPunh1","NO",6497.28881734658,0,0,2,0.693147180559945,0.666666666666667
"126","JNPunh2","NO",8104.14955904592,0,0,2,0.693147180559945,0.666666666666667
"127","JNPunh3","NO",7396.30935142291,0,0,2,0.562335144618808,1.33333333333333
"128","JNPunh4","NO",5568.65559238469,0,0,NA,0,NA
"129","KMSFunh1","NO",11360.392995127,0,0,2,0.257318640543832,4.66666666666667
"130","KMSFunh2","NO",6076.29248890522,0,0,2,0.636514168294813,3
"131","KMSFunh3","NO",8640.82117323201,0,0,3,1.05492016798614,1.66666666666667
"132","KMSFunh4","NO",8155.66573909102,0,0,2,0.636514168294813,1
"133","MP1314gap1","YES",163.564777064853,2784.81872770993,0.944523913934545,1,0,1.33333333333333
"134","MP1314gap2","YES",6465.39916285784,0,0,2,0.0658609359414783,27.3333333333333
"135","MP1314gap3","YES",3056.89900994933,2675.65377638619,0.466747342085371,2,0.679193265991526,8
"136","MP1314mat1","YES",13648.8283303385,0,0,1,0,55.6666666666667
"137","MP1314mat2","YES",6625.55246540057,2002.35030793288,0.232078450642909,1,0,56
"138","MP1314mat3","YES",5660.55813734905,2239.63601157268,0.283491262284783,3,0.163807779386738,41.6666666666667
"139","MP19gap1","YES",4141.12359153531,6475.78370829957,0.609950103680408,3,0.89820533970415,4.66666666666667
"140","MP19gap2","YES",1408.53961214643,7777.48733573336,0.846664981483477,3,1.03881175714559,8.33333333333333
"141","MP19gap3","YES",474.277241932213,6219.96357342504,0.929151451969852,4,1.09346991077824,9.66666666666667
"142","MP19gap4 ","YES",6623.30255849876,5381.34967545121,0.448272017429409,3,0.261160085965529,17
"143","MP19mat1","YES",7163.18707069353,798.079146242071,0.100245253015702,4,0.718310797997583,15.6666666666667
"144","MP19mat2","YES",6173.51663647696,222.798903886823,0.0348323816235856,3,0.790987350435576,6.66666666666667
"145","MP19mat3","YES",3024.27709110054,5429.24987947443,0.642246709376164,1,0,19.3333333333333
"146","MPunh1","NO",13844.2235563922,0,0,3,0.1050682789788,53.3333333333333
"147","MPunh2","NO",13860.5863341918,0,0,3,0.116846245586576,75.6666666666667
"148","MPunh3","NO",11984.9546611422,0,0,3,0.0969860950330633,39.6666666666667
"149","MPunh4","NO",10240.1823738872,0,0,2,0.116906849137531,26.6666666666667
"150","MSF3111unh1","NO",5335.8176220985,0,0,7,0.648588907450022,30
"151","MSF3111unh2","NO",11141.208993621,0,0,1,0,86
"152","MSF3111unh3","NO",3528.94145707499,0,0,2,0.0517811006744465,36.6666666666667
"153","MSF3111unh4","NO",3803.23589897572,0,0,4,0.460444110958231,20.6666666666667
"154","OMSFCRgap1","YES",3189.52187334883,4612.53912202036,0.591194957942276,3,0.683738905848754,3
"155","OMSFCRgap2","YES",2518.05519215936,6275.4371935879,0.713645604988447,2,0.500402423538188,1.66666666666667
"156","OMSFCRgap3","YES",7045.33222534675,2324.56565254889,0.248088686007211,4,0.531303903339541,10
"157","OMSFCRmat1","YES",4121.87805595441,3277.25080678916,0.442923872199459,4,1.33217904021012,1.66666666666667
"158","OMSFCRmat2","YES",10460.7501216575,1762.02832198787,0.14415939306369,2,0.376770161256437,2.66666666666667
"159","OMSFCRmat3","YES",7474.01346024028,2891.27956759467,0.278938526854034,4,1.30194501705595,9.33333333333333
"160","OMSFHRgap1","YES",3453.08943783666,11609.3194613715,0.770747862380884,5,1.3647193751408,5.66666666666667
"161","OMSFHRgap2","YES",0,13755.5191092178,1,3,0.639031859650177,3.33333333333333
"162","OMSFHRgap3","YES",1474.93962333606,9400.16095967627,0.864374622369928,4,1.33217904021012,3.33333333333333
"163","OMSFHRmat1","YES",4014.53318499073,5631.15469831656,0.583800218962275,3,0.278006362273391,15.6666666666667
"164","OMSFHRmat2","YES",8056.1097534641,3979.74409163734,0.330657396048149,3,0.443757284260148,5.66666666666667
"165","OMSFHRmat3","YES",3325.22057764155,2403.71029681373,0.419573974531902,5,1.36868963762284,5.33333333333333
"166","OMSFSCHgap1","YES",309.030526146624,11821.5053298329,0.974524577494712,1,0,3
"167","OMSFSCHgap2","YES",0,11827.4600216727,1,1,0,3.66666666666667
"168","OMSFSCHgap3","YES",0,4597.06335481753,1,2,0.585952618303551,3.66666666666667
"169","OMSFSCHmat1","YES",12923.5367065038,7954.03783930607,0.380984765344901,NA,0,NA
"170","OMSFSCHmat2","YES",6819.56900337591,12342.504620079,0.644111115666075,1,0,0.333333333333333
"171","OMSFSCHmat3","YES",8050.93865247564,5851.91081168686,0.420914491433672,NA,0,NA
"172","OMSFSH14gap1","YES",0,1616.48151726745,1,2,0.257318640543832,4.66666666666667
"173","OMSFSH14gap2","YES",0,676.002360171102,1,2,0.661563238157982,5.33333333333333
"174","OMSFSH14gap3","YES",0,1015.16922684318,1,3,0.683738905848754,3
