"","plot_ID","tree_ID","species","DBH_cm","status","height_m","decay_class","to.be.cut","notes.x","harvest_status","gap_status","date","site_name","measured_by","tallied_by","entered_by","notes.y","Property","Stand_name","ASH_stump_DBH","BA_sqm","diam_in","height_ft","stump_DBH_in","stump_DBH_cm"
"73","BRSPunh1",10,"OSVI",13.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0145267244301992,5.3543336,NA,0,0
"74","BRSPunh1",11,"ACSA",30.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0735415424278835,12.0472506,NA,0,0
"75","BRSPunh1",12,"OSVI",10.9,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.00933131557932508,4.2913409,NA,0,0
"76","BRSPunh1",13,"ACRU",21.9,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.037668481314705,8.6220519,NA,0,0
"77","BRSPunh1",14,"ACRU",10.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.00882473376393373,4.1732306,NA,0,0
"78","BRSPunh1",15,"PRSE",42.4,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.14119574022294,16.6929224,NA,0,0
"79","BRSPunh1",16,"OSVI",12.6,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0124689812420979,4.9606326,NA,0,0
"80","BRSPunh1",17,"BENI",17.7,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0246057390610787,6.9685077,NA,0,0
"81","BRSPunh1",18,"TSCA",20.3,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0323654729154455,7.9921303,NA,0,0
"82","BRSPunh1",19,"ACRU",11.8,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0109358840271461,4.6456718,NA,0,0
"83","BRSPunh1",20,"UNK",55.8,"stump",0.2,4,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.244544713748083,21.9685158,0.656168,17.5572308529697,44.5953663665431
"84","BRSPunh1",21,"UNK",22.6,"stump",0.25,4,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0401149965936881,8.8976426,0.82021,7.60975473978703,19.3287770390591
"85","BRSPunh2",1,"ACPE",10.8,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.00916088417786784,4.2519708,NA,0,0
"86","BRSPunh2",2,"FRAM",18.7,"live",NA,NA,"NO","","NO","NO","8/13/2020","Balance Rock State Park","HT, MW","HH","MW","","Balance Rock State Park","Balance Rock State Park",NA,0.0274645883758454,7.3622087,NA,0,0
