"","plot_ID","Stand_name","State","Ownership_cat","Treatment","EAB_present","forest_type","species","small_saplings_tally","large_saplings_tally","all_saplings_tally"
"118","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FAGR",4,6,10
"119","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"120","CH2214unh1","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"121","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","all",8,21,29
"122","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACSA",0,1,1
"123","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"124","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FAGR",8,10,18
"125","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"126","CH2214unh2","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"127","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","all",9,16,25
"128","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACSA",0,12,12
"129","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"130","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FAGR",4,1,5
"131","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"132","CH2214unh3","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","BEAL",1,1,2
"133","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","all",4,9,13
"134","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACSA",0,0,0
"135","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"136","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","FAGR",1,6,7
"137","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"138","CH2214unh4","Camel's Hump SP stand 2-2-14","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
"139","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","all",23,7,30
"140","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACSA",0,0,0
"141","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FRAM",0,0,0
"142","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FAGR",4,1,5
"143","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACRU",0,0,0
"144","CH224gap1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","BEAL",16,3,19
"145","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","all",7,3,10
"146","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACSA",6,0,6
"147","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FRAM",0,0,0
"148","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FAGR",0,0,0
"149","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACRU",0,0,0
"150","CH224gap2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","BEAL",0,0,0
"151","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","all",28,1,29
"152","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACSA",3,0,3
"153","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FRAM",11,0,11
"154","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FAGR",12,1,13
"155","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACRU",0,0,0
"156","CH224gap3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","BEAL",0,0,0
"157","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","all",7,2,9
"158","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACSA",3,0,3
"159","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FRAM",0,0,0
"160","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FAGR",0,0,0
"161","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACRU",0,0,0
"162","CH224mat1","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","BEAL",3,0,3
"163","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","all",10,21,31
"164","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACSA",0,2,2
"165","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FRAM",0,0,0
"166","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FAGR",2,0,2
"167","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACRU",0,0,0
"168","CH224mat2","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","BEAL",0,0,0
"169","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","all",10,2,12
"170","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACSA",5,1,6
"171","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FRAM",0,0,0
"172","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","FAGR",1,1,2
"173","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","ACRU",0,0,0
"174","CH224mat3","Camel's Hump SP stand 2-2-4","VT","public_state","removal","yes","NH","BEAL",1,0,1
"175","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","all",7,13,20
"176","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACSA",0,0,0
"177","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FRAM",0,0,0
"178","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","FAGR",7,11,18
"179","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","ACRU",0,0,0
"180","CH231unh1","Camel's Hump SP stand 2-3-1","VT","public_state","unharvested","yes","NH","BEAL",0,0,0
