"species","age","mapcode"
"acersacc","89","1089"
"betualle","56","1089"
"fagugran","61","1089"
"abiebals","76","1090"
"acerrubr","16","1090"
"betualle","7","1090"
"tsugcana","41","1090"
"acersacc","91","1091"
"betualle","72","1091"
"fraxamer","76","1091"
"acersacc","70","1092"
"prunsero","69","1092"
"acersacc","48","1093"
"betupapy","53","1093"
"fraxamer","45","1094"
"pinustro","90","1094"
"poputrem","66","1094"
"thujocci","45","1094"
"tsugcana","74","1094"
"acerrubr","55","1095"
"picerube","35","1095"
"acersacc","117","1096"
"betualle","114","1096"
"acerrubr","47","1097"
"acersacc","55","1097"
"betualle","63","1097"
"fagugran","58","1097"
"acersacc","110","1098"
"fagugran","94","1098"
"fraxamer","84","1098"
"acerrubr","74","1099"
"acersacc","82","1099"
"betualle","62","1099"
"fagugran","59","1099"
"acerrubr","44","1100"
"acersacc","67","1100"
"betualle","59","1100"
"acersacc","77","1101"
"betualle","71","1101"
"acersacc","75","1102"
"betupapy","42","1102"
"fagugran","73","1102"
"acerrubr","50","1103"
"acersacc","62","1103"
"betupapy","53","1103"
"picerube","45","1103"
"acerrubr","61","1104"
"betualle","82","1104"
"abiebals","86","1105"
"acersacc","52","1105"
"betualle","43","1105"
"thujocci","40","1105"
"acersacc","93","1106"
"tsugcana","81","1106"
"acerrubr","43","1169"
"acerrubr","93","1170"
"betualle","81","1170"
"pinustro","89","1171"
"poputrem","71","1171"
"acersacc","76","1172"
"fagugran","69","1172"
"betualle","26","1173"
"picerube","26","1173"
"tsugcana","32","1173"
"acerrubr","94","1174"
"tsugcana","88","1174"
"abiebals","47","1175"
"betualle","49","1175"
"betupapy","37","1175"
"acersacc","48","1176"
"fraxamer","45","1176"
"thujocci","102","1176"
"tsugcana","41","1176"
"acerrubr","60","1177"
"pinustro","72","1177"
"acersacc","77","1178"
"betualle","68","1178"
"acerrubr","81","1179"
"acersacc","60","1179"
"fagugran","84","1179"
"pinustro","47","1180"
"abiebals","56","1181"
"betualle","38","1181"
"abiebals","55","1182"
"prunsero","41","1182"
"abiebals","23","1183"
"acersacc","72","1184"
"abiebals","49","1185"
"acerrubr","63","1185"
"fraxamer","42","1185"
"acersacc","106","1186"
"betualle","100","1186"
"acersacc","79","1187"
"thujocci","111","1187"
"abiebals","77","1188"
"picerube","58","1188"
"pinustro","85","1189"
"prunsero","48","1190"
"thujocci","73","1190"
"abiebals","63","1191"
"acerrubr","50","1191"
"betualle","44","1191"
"abiebals","74","1192"
"acerrubr","63","1192"
"picerube","90","1192"
"acersacc","64","1193"
"fraxamer","60","1193"
"acerrubr","32","1194"
"acerrubr","74","1195"
"pinustro","79","1195"
"acersacc","81","1196"
"fagugran","80","1196"
"abiebals","64","1197"
"pinustro","48","1197"
"pinustro","55","1198"
"tsugcana","63","1198"
"fraxamer","21","1199"
"pinustro","12","1199"
"prunsero","32","1199"
"abiebals","59","1200"
"prunsero","52","1200"
"abiebals","52","1201"
"acerrubr","101","1201"
"betualle","106","1201"
"picerube","52","1201"
"acerrubr","50","1202"
"acersacc","57","1202"
"abiebals","36","1203"
"picerube","27","1203"
"pinustro","36","1203"
"acersacc","65","1204"
"tsugcana","71","1204"
"abiebals","40","1205"
"fraxamer","35","1205"
"abiebals","63","1206"
"acerrubr","44","1206"
"prunsero","45","1206"
"acerrubr","72","1207"
"acersacc","64","1207"
"betualle","73","1207"
"pinustro","79","1208"
"tsugcana","89","1208"
"acersacc","92","1209"
"acersacc","56","1210"
"betualle","69","1210"
"picerube","96","1210"
"acerrubr","59","1211"
"acersacc","36","1211"
"tsugcana","44","1211"
"acerrubr","6","1212"
"acersacc","26","1212"
"prunsero","21","1212"
"acerrubr","54","1213"
"acersacc","51","1213"
"pinustro","49","1213"
"acerrubr","78","1214"
"pinustro","75","1214"
"tsugcana","77","1214"
"acersacc","79","1215"
"acersacc","94","1216"
"acersacc","37","1217"
"pinustro","34","1217"
"abiebals","22","1218"
"acerrubr","17","1218"
"fraxamer","16","1218"
"picerube","16","1218"
"acersacc","95","1219"
"betualle","79","1219"
"acerrubr","65","1923"
"acersacc","80","1923"
"betualle","78","1923"
"abiebals","95","1924"
"betualle","86","1924"
"acerrubr","95","1925"
"acersacc","79","1925"
"fraxamer","87","1925"
"acerrubr","50","1926"
"acersacc","53","1926"
"betulent","71","1926"
"fagugran","64","1926"
"betulent","66","1927"
"fraxamer","54","1927"
"acerrubr","76","1928"
"picerube","99","1928"
"tsugcana","61","1928"
"acerrubr","55","1929"
"betualle","54","1929"
"fagugran","61","1929"
"fraxamer","54","1929"
"picerube","54","1929"
"tsugcana","94","1929"
"betualle","81","1930"
"fagugran","96","1930"
"acersacc","96","1931"
"fraxamer","88","1931"
"querrubr","75","1931"
"acersacc","88","1932"
"betualle","47","1932"
"fagugran","92","1932"
"acersacc","84","1933"
"fagugran","77","1933"
"abiebals","75","1934"
"acersacc","76","1934"
"betualle","77","1934"
"fagugran","73","1934"
"acersacc","104","1935"
"fraxamer","94","1935"
"pinustro","91","1935"
"acersacc","93","1936"
"fagugran","78","1936"
"acerrubr","93","1937"
"acersacc","55","1937"
"fraxamer","55","1937"
"picerube","68","1937"
"tsugcana","89","1937"
"acerrubr","74","1938"
"acersacc","82","1938"
"abiebals","66","1939"
"betualle","73","1939"
"acerrubr","90","1940"
"betualle","88","1940"
"acersacc","87","1941"
"betulent","68","1941"
"fagugran","79","1941"
"acerrubr","58","1942"
"acersacc","74","1942"
"betualle","64","1942"
"fagugran","59","1942"
"acerrubr","72","1943"
"betualle","54","1943"
"fagugran","57","1943"
"betualle","69","1944"
"fagugran","66","1944"
"acerrubr","96","1945"
"acersacc","67","1945"
"pinustro","67","1945"
"querrubr","69","1945"
"acerrubr","74","1946"
"betulent","86","1946"
"fagugran","86","1946"
"querrubr","109","1946"
"acersacc","81","1947"
"betualle","55","1947"
"fagugran","50","1947"
"acerrubr","85","1948"
"betualle","55","1948"
"fraxamer","52","1948"
"acersacc","72","1949"
"betulent","55","1949"
"fraxamer","67","1949"
"acerrubr","26","1950"
"betualle","27","1950"
"tsugcana","41","1950"
"betualle","75","1951"
"betulent","61","1951"
"tsugcana","87","1951"
"betualle","99","1952"
"picerube","94","1952"
"betualle","34","1953"
"fagugran","36","1953"
"picerube","34","1953"
"acersacc","40","1954"
"fagugran","54","1954"
"acerrubr","92","1955"
"betualle","104","1955"
"fagugran","64","1955"
"acersacc","62","1956"
"betualle","65","1956"
"fagugran","49","1956"
"acerrubr","83","1957"
"betualle","66","1957"
"acersacc","74","1958"
"fraxamer","58","1958"
"querrubr","70","1958"
"tiliamer","62","1958"
"acerrubr","39","1959"
"betualle","43","1959"
"betupapy","29","1959"
"fagugran","34","1959"
"acerrubr","108","1960"
"picerube","97","1960"
"acerrubr","81","1961"
"fagugran","99","1961"
"acerrubr","53","1962"
