"","stand","num_plots","num_ash_plots","prop_ash"
"3624",10184319,59,23,0.389830508474576
"3647",60138348,334,123,0.368263473053892
"3648",10076938,308,139,0.451298701298701
"3668",10075217,62,18,0.290322580645161
"3670",10075470,325,112,0.344615384615385
"3673",10057287,60,27,0.45
"3675",10307271,79,24,0.30379746835443
"3681",10036848,312,96,0.307692307692308
"3686",10075493,79,33,0.417721518987342
"3693",10307255,80,13,0.1625
"3706",10075480,142,35,0.246478873239437
"3717",10137404,168,44,0.261904761904762
"3725",10184315,254,53,0.208661417322835
"3731",10057056,146,26,0.178082191780822
"3744",60075048,66,26,0.393939393939394
"3745",60075232,75,30,0.4
"3749",10076951,48,16,0.333333333333333
